OTU_ID,M9,M4,M8,M6,M7,M3,M2,M10,M1,M5,taxonomy
Prevotella_bryantii_AF396925,2,0,0,0,0,0,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_bryantii
Actinomyces_georgiae_GU561319,0,2,1,0,0,0,0,0,0,0,Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_georgiae
Gemella_haemolysans_NR_025903.1,39,0,0,5,4,12,3,0,0,0,Firmicutes; Bacilli; Gemellales; Gemellaceae; Gemella; Gemella_haemolysans
Filifactor_alocis_JN713151,1,0,0,0,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Filifactor; Filifactor_alocis
OTU1240,5,1,0,10,17,25,16,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1240|NN=Oscillospira[Clostridium]_viride_X81125|D=86
Citrobacter_braakii_JN644584,0,72,625,0,0,0,1,1902,2,6,Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Citrobacter; Citrobacter_braakii
Clostridium_asparagiforme_AJ582080,27,316,927,16,26,16,19,0,39,117,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_asparagiforme
OTU1244,1,0,0,0,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1244|NN=Coprococcus_eutactus_EF031543|D=87.9
OTU1247,5,0,0,0,3,1,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Butyricimonas; OTU1247|NN=Butyricimonas_synergistica_AB443948|D=95.1
OTU1248,1,0,0,0,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1248|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=90.9
Lachnoanaerobaculum_saburreum_AB525414,3,2,0,1,0,2,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoanaerobaculum; Lachnoanaerobaculum_saburreum
OTU469,0,0,0,0,6,1,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU469|NN=Prevotella_copri_AB064923|D=96.3
OTU45,4,32,0,79,354,8,7,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU45|NN=Soleaferrea_massiliensis_JX101688|D=88.7
OTU1483,3,2464,0,4776,1279,0,1048,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1483|NN=Papillibacter_cinnamivorans_AF167711|D=90.2
OTU503,4,0,0,0,1,0,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; unclassified; OTU503|NN=Parabacteroides_goldsteinii_AB547650|D=79.6
OTU502,2,0,0,43,518,2,10,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU502|NN=Prevotella_copri_AB064923|D=96.6
OTU504,0,1,0,0,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU504|NN=Clostridium_bolteae_AJ508452|D=92.7
OTU507,537,603,227,42,57,2,50,726,443,134,Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; OTU507|NN=Bacteroides_xylanisolvens_AB510713|D=97
Bacteroides_coprophilus_AB064919,1265,0,1,79,407,216,41,0,4,0,Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_coprophilus
OTU1560,0,1,0,0,0,0,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90.2
OTU1562,2,3,0,1,0,0,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Terrisporobacter; OTU1562|NN=Clostridium_glycolicum_AY007244|D=96.5
Bacteroides_finegoldii_EU722740,2,7,60,0,1,0,0,34,3,5,Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_finegoldii
OTU1090,0,0,0,0,0,0,6,0,0,0,Firmicutes; unclassified; unclassified; unclassified; unclassified; OTU1090|NN=Eubacterium_cylindroides_AB018186|D=79.3
Aerococcus_viridans_HQ917012.1,5,0,0,0,0,0,0,0,0,0,Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus; Aerococcus_viridans
Enterobacter_hormaechei_EF059888.1,0,1,187,0,0,0,0,558,0,0,Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Enterobacter; Enterobacter_hormaechei
