SampleID	BarcodeSequence	LinkerPrimerSequence	InputFileName	Description	AntibioticTreatment	ChildTime
A1	NA	NA	A1_1.fna	human	NA	NA
A2	NA	NA	A2_1.fna	human	NA	NA
A4	NA	NA	A4_1.fna	human	NA	NA
A5	NA	NA	A5_1.fna	human	NA	NA
A6	NA	NA	A6_1.fna	human	NA	NA
A7	NA	NA	A7_1.fna	human	NA	NA
A8	NA	NA	A8_1.fna	human	NA	NA
B1	NA	NA	B1_1.fna	human	NA	NA
B2	NA	NA	B2_1.fna	human	NA	NA
B3	NA	NA	B3_1.fna	human	NA	NA
C1	NA	NA	C1_1.fna	human	NA	NA
C3	NA	NA	C3_1.fna	human	NA	NA
C4	NA	NA	C4_1.fna	human	NA	NA
M1	NA	NA	M1_1.fna	rat	antibiotic	0dpi
M3	NA	NA	M3_1.fna	rat	antibiotic-free	12dpi
M4	NA	NA	M4_1.fna	rat	antibiotic	12dpi
M5	NA	NA	M5_1.fna	rat	antibiotic	3135dpi
M6	NA	NA	M6_1.fna	rat	antibiotic-free	3135dpi
M7	NA	NA	M7_1.fna	rat	antibiotic-free	mother
M8	NA	NA	M8_1.fna	rat	antibiotic	mother
C5	NA	NA	C5_1.fna	human	NA	NA
M9	NA	NA	M9_1.fna	rat	antibiotic-free	razdvoj
M10	NA	NA	M10_1.fna	rat	antibiotic	razdvoj
A3	NA	NA	A3_1.fna	human	NA	NA
M2	NA	NA	M2_1.fna	rat	antibiotic-free	0dpi
